hancuuuur,hancur
memindahkan,memindahkan
mindahkan,memindahkan
scan,memindai
minjam,meminjam
minta,meminta
meminta,meminta
njaluk,meminta
memiskinkan,memiskinkan
ngoprek,memodifikasi
memohon,memohon
memojokkn,memojokkan
memori,memori
memoriku,memoriku
memutus,memotong
motong,memotong
motret,memotret
mempan,mempan
peduliin,mempedulikan
learn,mempelajari
mengaji,mempelajari
pelajari,mempelajari
mengkerangkeng,mempenjarakan
mmperbaiki,memperbaiki
perbaikin,memperbaiki
improve,memperbaiki
memeperbaiki,memperbaiki
memperbaiki,memperbaiki
repair,memperbaiki
memperbaikinya,memperbaikinya
memperbanyak,memperbanyak
memperbaharui,memperbarui
perbarui,memperbarui
update,memperbarui
mengperbolehkan,memperbolehkan
mmpercaykn,mempercayakan
mempercepat,mempercepat
percepatan,mempercepat
mempercepatnya,mempercepatnya
memperhatikan,memperhatikan
menyimak,memperhatikan
mmperjuangkan,memperjuangkan
ngejuangin,memperjuangkan
memperjuangkan,memperjuangkan
memperkaya,memperkaya
memperkuat,memperkuat
perkuat,memperkuat
memperlambat,memperlambat
memperlancar,memperlancar
liatin,memperlihatkan
memperlihatkan,memperlihatkan
memperluas,memperluas
permasalahin,mempermasalahkan
mpengaruhi,memperngaruhi
memperoleh,memperoleh
mendapat,memperoleh
mendapati,memperoleh
mendapatkan,memperoleh
mendapatnya,memperoleh
mengantongi,memperoleh
perpanjang,memperpanjang
mempersiapkan,mempersiapkan
mmprtimbgkan,mempertimbangkan
consider,mempertimbangkan
mempertimbangkan,mempertimbangkan
pertimbangkan,mempertimbangkan
memposting,memposting
praktekin,mempraktikkan
memprihatinkan,memprihatinkan
ngendorse,mempromosikan
protes,memprotes
protesnya,memprotes
memprofokasi,memprovokasi
due,mempunyai
mempunyai,mempunyai
nduwe,mempunyai
ngotak,mempunyai otak
memuakkan,memuakkan
memuaskan,memuaskan
memuaskann,memuaskan
loading,memuat
aplot,memuat
load,memuat
loading,memuat
loadingan,memuat
loadinggg,memuat
memuat,memuat
ngeload,memuat
ngeloading,memuat
ngupload,memuat
upload,memuat
reload,memuat ulang
loadingny,memuatnya
loadingnya,memuatnya
loadingnyaaaaaa,memuatnya
loadnya,memuatnya
uploadnya,memuatnya
memudahkan,memudahkan
memuji,memuji
muji,memuji
nabok,memukul
nampolin,memukul
mukulin,memukuli
memulai,memulai
ngeplay,memulai
ngewar,memulai perang
merestart,memulai ulang
ngerestart,memulai ulang kembali
mulung,memulung
muncak,memuncak
memungkinkan,memungkinkan
memfokuskan,memusatkan
memutar,memutar
nyetel,memutar
mutihin,memutihkan
mutuain,memutuskan
mutusin,memutuskan
disconnect,memutuskan
memutuskan,memutuskan
nabrak,menabrak
menabung,menabung
nabung,menabung
nafkahin,menafkahi
nagih,menagih
nahan,menahan
menahan,menahan
numpak,menaiki
menaikkan,menaikkan
maksir,menaksir
naksir,menaksir
nakutin,menakutkan
menakutkan,menakutkan
scary,menakutkan
seram,menakutkan
namain,menamai
mnambah,menambah
mnambh,menambah
menambah,menambah
menambahi,menambahkan
nambahin,menambahkan
nampak,menampak
nampar,menampar
menampar,menampar
nongolin,menampilkan
menanam,menanam
mnancapkan ,menancapkan
menandakan,menandakan
menang,menang
win,menang
winner,menang
winstreak,menang
nanganin,menangani
menangani,menangani
nanggepin,menanggapi
nganggepin,menanggapi
respon,menanggapi
respond,menanggapi
naggung,menanggung
nagiss,menangis
nangiiiiis,menangis
nangiiis,menangis
nangiis,menangis
nangis,menangis
nangiss,menangis
nangisss,menangis
cried,menangis
cry,menangis
cryyyy,menangis
menangis,menangis
menangisss,menangis
menangys,menangis
mewek,menangis
"nangis""",menangis nangis
menangisi,menangisi
nangisin,menangisi
nanhis,menangisi
counter,menangkal
menangin,menangkan
mnangkap,menangkap
mnngkp,menangkap
menangkap,menangkap
nangkap,menangkap
menangnya,menangnya
nantangin,menantang
menanyakan,menanyakan
menayakan,menanyakan
menara,menara
nari,menari
breakdance,menari
dance,menari
narik,menarik
menarik,menarik
nareek,menarik
narek,menarik
menasehati,menasihati
nasehatin,menasihati
natap,menatap
menatap,menatap
nawarin,menawari
menawari,menawari
nayangin,menayangkan
jabut,mencabut
nyaci,mencaci
mencaci,mencaci
garuk,mencakar
mencakup,mencakup
campurin,mencampuri
nyantumin,mencantumkan
mmcpai,mencapai
mecapai,mencapai
mencapai,mencapai
mencr,mencari
nyari,mencari
searching,mencari
serching,mencari
golek,mencari
mencari,mencari
neangan,mencari
nguwer,mencari
nyariin,mencari
search,mencari
sercing,mencari
nyarinya,mencarinya
nyatetnya,mencatatnya
nyatok,mencatok
nyebur,mencebur
mencebur,mencebur
mencrderai,mencederai
nyela,mencela
menceret,menceret
mencret,menceret
mencermari,mencermati
mencerminkan,mencerminkan
nyerocooooos,mencerocos
nyerocos,mencerocos
mencet,mencet
mencydux,menciduk
mencintaimu,mencintaimu
menciptkan,menciptakan
menciptakan,menciptakan
mncoba,mencoba
nyoba,mencoba
nyobain,mencoba
mencoba,mencoba
mencobai,mencoba
nyobak,mencoba
try,mencoba
retry,mencoba kembali
nyocol,mencocol
mencolok,mencolok
nyolok,mencolok
nyolokin,mencolokkan
nyolong,mencolong
jepat,mencuat
nyubit,mencubit
nyubitt,mencubit
nyuci,mencuci
nyulik,menculik
nyurangi,mencurangi
nyuri,mencuri
curi,mencuri
mencolong,mencuri
mencuri,mencuri
curiga,mencurigai
dadakan,mendadak
mendadak,mendadak
ndadak,mendadak
ngedadak,mendadak
checkin,mendaftar
mendaftarkan,mendaftarkan
mendahului,mendahului
ndaki,mendaki
ndakik,mendaki
mdalam,mendalam
dampingi,mendampingi
mendampingi,mendampingi
mdp,mendapat
mdpt,mendapat
mendpat,mendapat
mndpat,mendapat
mndpt,mendapat
dapetin,mendapati
mendapatkn,mendapatkan
mendaptkan,mendapatkan
mendptkan,mendapatkan
mndaptkan,mendapatkan
mndptkn,mendapatkan
mendarah,mendarah
esensial,mendasar
mendtang,mendatang
mendatang,mendatang
mendatngkan,mendatangkan
mendekati,mendekati
mendekatkan,mendekatkan
menden,menden
mendngar,mendengar
mendengar,mendengar
dengarin,mendengarkan
dngerin,mendengarkan
listening,mendengarkan
mendengarkan,mendengarkan
ndengeri,mendengarkan
mendengarnya,mendengarnya
menderita,menderita
ngedesain,mendesain
mendesak,mendesak
urgent,mendesak
mendeteksi,mendeteksi
mengedukasi,mendidik
mnding,mending
mendingan,mending
mndingan,mendingan
ngadem,mendinginkan
ngedekke,mendirikan
mendoakan,mendoakan
mendominasi,mendominasi
ngeboost,mendorong
ngepush,mendorong
push,mendorong
pushrank,mendorong peringkat
pusreng,mendorong peringkat
mendua,mendua
menyangka,menduga
mendkg,mendukung
mensuport,mendukung
mensupporrt,mendukung
menyuport,mendukung
mndukung,mendukung
ndukung,mendukung
ngedukung,mendukung
dukung,mendukung
mendukun,mendukung
mendukung,mendukung
mendung,mendung
tekan,menekan
nelan,menelan
menelepon,menelepon
menelfon,menelepon
menelpon,menelepon
nelepon,menelepon
nelfon,menelepon
nelp,menelepon
nelpon,menelepon
nelponin,menelepon
nlfn,menelepon
nlp,menelepon
nlpn,menelepon
nlvn,menelepon
concall,menelpon
menelorkan,menelurkan
nembak,menembak
nmbk,menembak
menembak,menembak
nembus,menembus
menembus,menembusi
mnempati,menempati
nempatin,menempati
nempel,menempel
attach,menempel
nemuin,menemukan
find,menemukan
menemukan,menemukan
nemu,menemukan
nenangin,menenagkan
nyaduk,menendang
nengok,menengok
menetang,menentang
menentu,menentu
nentuin,menentukan
menentukan,menentukan
mnepati,menepati
mnpati,menepati
nepi,menepi
tepok,menepuk
pukpuk,menepuk nepuk
nerangin,menerangkan
nerawang,menerawang
mnerbitkan,menerbitkan
publish,menerbitkan
meneriaki,meneriakkan
mnerima,menerima
nerima,menerima
menerima,menerima
translate,menerjemahkan
translet,menerjemahkan
nerobos,menerobos
ngetawain,menertawakan
mnrskan,meneruskan
nerusin,meneruskan
netaas,menetas
netes,menetes
mengabaikan,mengabaikan
mengabari,mengabari
ngabarin,mengabarkan
ngaca,mengaca
ngacaaa,mengaca
ngacauin,mengacau
ngaco,mengaco
ngacung,mengacung
ngadi,mengada
adain,mengadakan
ngadain,mengadakan
mengadakan,mengadakan
ngademin,mengademkan
ngadu,mengadu
mengadukan,mengadukan
mengait2kan,mengait ngaitkan
mngtkn,mengaitkan
ngaitin,mengaitkan
relate,mengaitkan
ajakin,mengajak
ngajak,mengajak
mengajak,mengajak
ngajakin,mengajak
ngajakk,mengajak
ngejak,mengajak
ngjak,mengajak
ngjk,mengajak
ngajar,mengajar
mengajar,mengajar
ngajarin,mengajari
mengajariku,mengajariku
ngaji,mengaji
ngajuin,mengajukan
mengajukan,mengajukan
ngakaaaakkk,mengakak
ngakak,mengakak
ngakakkk,mengakak
ngkkkkkk,mengakak
garai,mengakibabkan
mgakibatkan,mengakibatkan
mengakibatkan,mengakibatkan
ngakibatin,mengakibatkan
accessing,mengakses
mengakses,mengakses
ngakses,mengakses
mengaktifkan,mengaktifkan
ngaktifin,mengaktifkan
ngaku,mengaku
fess,mengaku
mengaku,mengaku
"ngaku""",mengaku ngaku
memgakui,mengakui
mengaiui,mengakui
mngakui,mengakui
confess,mengakui
mengakui,mengakui
ngakuin,mengakui
ngakunya,mengakunya
mengakunya,mengakunya
ngalah,mengalah
mengalah,mengalah
 ngalahin,mengalahkan
mengalahkn,mengalahkan
ngalahin,mengalahkan
mengalahkan,mengalahkan
mengalahlan,mengalahkan
ngalahke,mengalahkan
ngalain,mengalahkan
mngalami,mengalami
mengalami,mengalami
mengalamin,mengalami
ngalami,mengalami
ngalamin,mengalami
mengalaminya,mengalaminya
ngalaminnya,mengalaminya
mengalit,mengalir
ngalir,mengalir
ngalirrrrr,mengalir
ngucur,mengalir
mengalir,mengalir
ngamatin,mengamati
ngambek,kecewa
nganbek,kecewa
mengambek,mengecewakan
ngambeknya,mengecewakannya
ambilin,mengambil
mgembosi,mengambil
mngmbil,mengambil
ngembat,mengambil
ngambil,mengambil
retrieve,mengambil
mencak,mengamuk
ngancam,mengancam
ngancem,mengancam
mengandalkan,mengandalkan
ngandalin,mengandalkan
ngandeli,mengandalkan
ngandelin,mengandalkan
rely,mengandalkan
ngandelinnya,mengandalkannya
nganggap,menganggap
menganggap,menganggap
ngangguk,mengangguk
menganggur,menganggur
nganggurin,menganggurkan
nganggurin ,menganggurkan
ngangkang,mengangkang
ngangkat,mengangkat
ngangsur,mengangsur
ngantar,mengantar
giring,mengantarkan
menggiring,mengantarkan
nganterin,mengantarkan
mengantri,mengantre
ngatri,mengantre
ngantri,mengantre
ngantrinya,mengantrinya
ngantuk,mengantuk
ngp,mengapa
why,mengapa
kunaon,mengapa
mengapa,mengapa
mengapaa,mengapa
mengapalah,mengapa
mengapasieee,mengapa
mngp,mengapa
ngapasih,mengapa sih
aplikasiin,mengaplikasikan
mengpliksikan,mengaplikasikan
ngapresiasi,mengapresiasi
mengapresiasinya,mengapresiasi
ngarahin,mengarahkan
ngarang,mengarang
ngarsipin,mengarsipkan
ngartiin,mengartikan
mengarungi,mengarungi
mngasi,mengasih
ngasi,mengasih
ngasih,mengasih
ngasih2,mengasih ngasih
ngata2in,mengata ngatai
ngatai,mengatai
ngatain,mengatai
ngtain,mengatai
mengatakn,mengatakan
mngatakan,mengatakan
mengatakan,mengatakan
ngata,mengatakan
menanggulangi,mengatasi
mengatas,mengatasi
mengatasi,mengatasi
ngatasi,mengatasi
ngatasie,mengatasi
ngatasin,mengatasi
mengatasinya,mengatasinya
ngatasinya,mengatasinya
menghandle,mengatur
ngatur,mengatur
stel,mengatur
ngawasin,mengawasi
kawinin,mengawini
mengaxiskan,mengaxiskan
ngecover,mengcover
kebutnya,mengebutnya
ngecam,mengecam
ces,mengecas
ngecek,mengecek
mengecewakan,mengecewakan
mengecewakn,mengecewakan
ngecewain,mengecewakan
ngedit,mengedit
ngeditnya,mengeditnya
nggames,mengegame
kejar,mengejar
mengejar,mengejar
ngejar,mengejar
mengolok,mengejek
ngejek,mengejek
mengejek,mengejek
ngagetin,mengejutkan
ngekek,mengekek
ngelak,mengelak
melap,mengelap
kelilingi,mengelilingi
kelola,mengelola
mengelola,mengelola
ngelola,mengelola
keluarin,mengeluarkan
mengeluarkn,mengeluarkan
ngeluarin,mengeluarkan
mengeluarkan,mengeluarkan
mengeluh,mengeluh
merepet,mengeluh
mgeluh,mengeluh
mngadu,mengeluh
ngeluh,mengeluh
nyambat,mengeluh
sambat,mengeluh
mengadu,mengeluhkan
mengeluhkan,mengeluhkan
ngeluhin,mengeluhkan
ngadunya,mengeluhnya
komplainpun,mengeluhpun
ngepack,mengemas
pack,mengemas
mengembalikan,mengembalikan
ngembalikan,mengembalikan
ngembalikin,mengembalikan
mengembembangkan,mengembangkan
mengembngkan,mengembangkan
mengembangkan,mengembangkan
ngemis,mengemis
ngekampanyein,mengempanyekan
mngenai,mengenai
mengenai,mengenai
ngenakno,mengenakkan
kenal,mengenal
kenalin,mengenalkan
mengenalku,mengenalku
mengenaskan,mengenaskan
mengncang,mengencang
mengendlikan,mengendalikan
mngendalikan,mengendalikan
riding,mengendarai
kepoin,mengepoi
ngepoin,mengepoi
mengerikannn,mengerikan
mengerikan,mengerikan
doing,mengerjakan
garap,mengerjakan
mengerjakan,mengerjakan
ngerjai,mengerjakan
ngerjain,mengerjakan
ngerjakeun,mengerjakan
nggarap,mengerjakan
menegerti,mengerti
mengherthii,mengerti
mngerti,mengerti
mngrti,mengerti
ngarti,mengerti
ngerti,mengerti
ngertii,mengerti
ngertiin,mengerti
ngrti,mengerti
maklum,mengerti
mengerti,mengerti
ngerti,mengerti
ngertilah,mengertilah
ngeruk,mengeruk
mengkerut,mengerut
ngesahkan,mengesahkan
ngeselin,mengesalkan
jengkelin,mengesalkan
mengesalkan,mengesalkan
mengkesal,mengesalkan
ngeseliinn,mengesalkan
ngeselinnn,mengesalkan
ngeselinnnnnn,mengesalkan
ngzln,mengesalkan
nyeselin,mengesalkan
ngeselinnya,mengesalkannya
mengesankan,mengesankan
ngesot,mengesot
mengetahui,mengetahui
ngeteng,mengeteng
ngetes,mengetes
ngetik,mengetik
mengetik,mengetik
ngtweet,mengetweet
ngeyel,mengeyel
menggadeikan,menggadaikan
merecoki,menggaduh
ngerecoki,menggaduh
menggagalkan,menggagalkan
ngegaji,menggaji
nggaji,menggaji
nggali,menggali
nggambar,menggambar
menggambarkan,menggambarkan
ngegampar,menggampar
gangguin,mengganggu
mngganggu,mengganggu
ngeganggu,mengganggu
ngerongrong,mengganggu
annoying,mengganggu
ganggoni,mengganggu
ganggu,mengganggu
gangu,mengganggu
gengges,mengganggu
menganggu,mengganggu
mengganggu,mengganggu
menggangu,mengganggu
mgg,mengganggu
menganti,mengganti
mengganti,mengganti
ngeganti,mengganti
switch,mengganti
gantiin,menggantikan
ganti'kn,menggantikan
ngegantiin,menggantikan
menggantikan,menggantikan
menggantinya,menggantinya
mengapai,menggapai
menggelegar,menggelegar
gemesiin,menggemaskan
gemesin,menggemaskan
gemesinnnnn,menggemaskan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
menggemaskan,menggemaskan
mengembel,menggembel
ngegerutu,menggerutu
ngomel,menggerutu
ngegibah,menggibah
menggiurkan,menggiurkan
menggoda,menggoda
gosipin,menggosipkan
ngegoyang,menggoyang
mengugat,menggugat
scroll,menggulir
makek,menggunakan
memakai,menggunakan
menggunakan,menggunakan
menggungakan,menggunakan
mengunakan,menggunakan
nganggo,menggunakan
using,menggunakan
ngegunting,menggunting
ngabisin,menghabiskan
ngehabisin,menghabiskan
ngabisinnya,menghabiskannya
adapin,menghadapi
hadapin,menghadapi
mrnghadapi,menghadapi
ngadepin,menghadapi
facing,menghadapi
menghadapi,menghadapi
mnghadapi,menghadapi
ngadapin,menghadapi
mnghadiri,menghadiri
menghadirkn,menghadirkan
menghadirkan,menghadirkan
ngehakimi,menghakimi
menghalangi,menghalangi
ngehalangin,menghalangi
menghambat,menghambat
menghambatt,menghambat
mnghambat,menghambat
ngehambat,menghambat
menghambatku,menghambatku
menghambukan,menghamburkan
hancurin,menghancurkan
ngancurin,menghancurkan
ngehancurin,menghancurkan
ruin,menghancurkan
ngapus,menghapus
ngapusi,menghapus
mngharap,mengharap
ngarep,mengharap
ngareppppp,mengharap
mengharap,mengharap
menghrap,mengharap
mngharapkan,mengharapkan
mengharapkan,mengharapkan
ngarepin,mengharapkan
haragain,menghargai
menhargai,menghargai
menghargai,menghargai
mengharuskanku,mengharuskanku
ngirit,menghemat
menghentikan,menghentikan
mengherankan,mengherankan
menghibur,menghibur
ngidupin,menghidupkan
ngilang,menghilang
ngilnag,menghilang
disappear,menghilang
ghoshting,menghilang
menghilang,menghilang
menghilanh,menghilang
mengilang,menghilang
ngeghosting,menghilang
ngilangan,menghilang
ngilangg,menghilang
hilangin,menghilangkan
menghilangkn,menghilangkan
mnghilangkan,menghilangkan
ngilangin,menghilangkan
menghilangkan,menghilangkan
menghilangnya,menghilangnya
mghina,menghina
mnghina,menghina
ngehina,menghina
ngeles,menghindar
mengelak,menghindar
menghindar,menghindar
ngehindar,menghindar
menghindari,menghindari
mghiraukan,menghiraukan
hirup,menghirup
ngitem,menghitam
mnghormati,menghormati
connect,menghubung
menyambung,menghubung
menghubungi,menghubungi
ngehubungi,menghubungi
ngehubungin,menghubungi
connecting,menghubungkan
menghubungkan,menghubungkan
mengkoneksikan,menghubungkan
menyambungkan,menghubungkan
xcconnecting,menghubungkan
reconecting,menghubungkan kembali
reconnect,menghubungkan kembali
reconnecting,menghubungkan kembali
mghujat,menghujat
ngehujat,menghujat
menghujat,menghujat
ngidam,mengidam
ngeidealin,mengidealkan
ngigau,mengigau
ngiklan,mengiklankan
ngikut,mengikut
ngikuttt,mengikut
ikutin,mengikuti
mengikutii,mengikuti
mngikuti,mengikuti
ngikutin,mengikuti
follow,mengikuti
meloki,mengikuti
mengikuti,mengikuti
follback,mengikuti kembali
ngilerrrr,mengiler
ngimbangin,mengimbangi
nginep,menginap
ngincer,mengincar
nginduk,menginduk
menginfokan,menginformasikan
menginformasikan,menginformasikan
nginfoin,menginformasikan
mengingat,mengingat
ngingat,mengingat
ingetin,mengingatkan
ngingetin,mengingatkan
mengingatkan,mengingatkan
mereminder,mengingatkan
mengingatkanku,mengingatkanku
mnginginkan,menginginkan
nginjek,menginjak
reinstall,menginstal ulang
ngintilin,mengintil
mngintimidasi,mengintimidasi
ngintip,mengintip
kirain,mengira
mngira,mengira
ngira,mengira
ngiranya,mengiranya
ngiri,mengiri
ngiriii,mengiri
ngriii,mengiri
mengiri,mengiri
ngirim,mengirim
mencirim,mengirim
mengirim,mengirim
ngirm,mengirim
ngrim,mengirim
send,mengirim
submit,mengirim
ngepc,mengirim pesan
kirimin,mengirimi
ngirimin,mengirimkan
mengirimkannya,mengirimkannya
ngirimnya,mengirimnya
ngiringan,mengiringi
ngiritya,mengiritnya
menghisap,mengisap
nyedot,mengisap
isiin,mengisi
mengisi,mengisi
ngisik,mengisi
ngisilah,mengisi
ngecharger,mengisi ulang
mengijinkan,mengizinkan
kroscek,mengkaji ulang
mgkambing,mengkambing
ngawatirin,mengkhawatirkan
menghawatirkan,mengkhawatirkan
mengkhawatirkan,mengkhawatirkan
ngayal,mengkhayal
gkhianati,mengkhianati
mekritik,mengkritik
mengritik,mengkritik
mgkritik,mengkritik
mkritik,mengkritik
mngkritik,mengkritik
mrngkritik ,mengkritik
ngeritik,mengkritik
ngerocos,mengkritik
ngkritik,mengkritik
ngobrol,mengobrol
mengobrol,mengobrol
ngchat,mengobrol
ngechat,mengobrol
ngoceh,mengoceh
ngocok,mengocok
ngojek,mengojek
ngojol,mengojek
ngolah,mengolah
ngolokin,mengolok
ngomen,mengomentari
ngomenin,mengomentari
ngomentarin,mengomentari
ngomentnya,mengomentarinya
ngemeng,mengomong
ngmg,mengomong
ngmng,mengomong
ngom,mengomong
ngomng,mengomong
ngomomg,mengomong
ngomong,mengomong
ngumung,mengomong
ngmgin,mengomongkan
ngmngin,mengomongkan
ngomongin,mengomongkan
omongin,mengomongkan
ngmngnya,mengomongnya
ngomongnya,mengomongnya
niiskeun,mengompres kepala
konfirmasikan,mengonfirmasikan
mengkonfirmasi,mengonfirmasikan
ngemil,mengonsumsi
ngontak,mengontak
optimalkan,mengoptimalkan
optimasi,mengoptimalkan
ngorbanin,mengorbankan
ngoreksi,mengoreksi
otomatisin,mengotomatiskan
menggerogoti,mengrongrong
ngaep,menguap
kuasai,menguasai
meguatkan,menguatkan
kuatin,menguatkan
kuatkan,menguatkan
merubah,mengubah
mngubah,mengubah
convert,mengubah
turn,mengubah
mengubungi,mengubungi
mengubungkan,mengubungkan
nguburin,menguburkan
ngucap,mengucap
ngcpin,mengucapkan
ngucapin,mengucapkan
ucapin,mengucapkan
mengucapkan,mengucapkan
mengudara,mengudara
menguji,menguji
mnguji,menguji
nguji,menguji
ngunji,menguji
ngukur,mengukur
mereset,mengulang
ngulang,mengulang
reatart,mengulang kembali
restart,mengulang kembali
restarted,mengulang kembali
ngulangin,mengulangi
ngumbar,mengumbar
ngumbar2,mengumbar umbar
mengumpat,mengumpat
misoh,mengumpat
misuh,mengumpat
misuhin,mengumpat
ngumpat2,mengumpat ngumpat
"ngumpet""",mengumpet ngumpet
collect,mengumpulkan
mengumpulkan,mengumpulkan
ngumpulin,mengumpulkan
lock,mengunci
mengundng,mengundahg
ngundang,mengundang
mengundang,mengundang
mendownload,mengunduh
badonlot,mengunduh
donglot,mengunduh
donlod,mengunduh
donlot,mengunduh
donwload,mengunduh
dwnld,mengunduh
mengunduh,mengunduh
ngedownload,mengunduh
ngunduh,mengunduh
mengupload,mengunggah
ngaplod,mengunggah
ngaplot,mengunggah
uploaddownload,mengunggah mengunduh
ngungkit2,mengungkit ungkit
ngungsi,mengungsi
mengungsi,mengungsi
menunjungi,mengunjungi
menengok,mengunjungi
stalking,menguntit
mengurangi,mengurangi
kuras,menguras
menguras,menguras
menguraz,menguras
nguras,menguras
ngurus,mengurus
ngurusi,mengurus
ngurusun,mengurus
mengirusi,mengurusi
ngrusin,mengurusi
ngurusan,mengurusi
ngurusin,mengurusi
urusin,mengurusi
ngelus,mengusap
ngusap,mengusap
ngutarakan,mengutarakan
mengutuk,mengutuk
kawin,menikah
nikahin,menikahi
kawini,menikahi
menikahi,menikahi
mnikmati,menikmati
nikmatin,menikmati
menikmati,menikmati
nikmati,menikmati
menjudge,menilai
mnilai,menilai
ngejudge,menilai
rate,menilai
nimbrung,menimbrung
nimrung,menimbrung
nimbul,menimbul
nimbulin,menimbulkan
nimbun,menimbun
menimpa,menimpa
nimpuk,menimpuk
folowup,menindaklanjuti
menindaklanjuti,menindaklanjuti
meninggal,meninggal
rip,meninggal dunia
ninggalin,meninggalkan
leave,meninggalkan
meninggalkan,meninggalkan
ninggiin,meninggikan
meningkat,meningkat
mingkatkan,meningkatkan
mningkatkan,meningkatkan
meningkatkan,meningkatkan
ningkatin,meningkatkan
upgrade,meningkatkan
meninjau,meninjau
menipis,menipis
bluff,menipu
menipu,menipu
nipu,menipu
niru,meniru
menit,menit
menitan,menitan
nitip,menitip
mnjabat,menjabat
mnjabt,menjabat
mnjbat,menjabat
ngejabat,menjabat
menajdi,menjadi
mendj,menjadi
menjd,menjadi
menjdai,menjadi
menjdi,menjadi
mjadi,menjadi
mjd,menjadi
mjdi,menjadi
mnj,menjadi
mnjadi,menjadi
mnjd,menjadi
mnjdi,menjadi
nenjadi,menjadi
being,menjadi
menjadi,menjadi
ngebuzzer,menjadi buzzer
menjadijadi,menjadi jadi
meletot,menjadi pipih
mnjdkan,menjadikan
menjg,menjaga
mjaga,menjaga
mnjaga,menjaga
mnjga,menjaga
menjaga,menjaga
xcmenjaga,menjaga
jahatin,menjahati
menjahati,menjahati
jalanani,menjalani
jalanin,menjalani
menjalani,menjalani
ngejalanin,menjalani
menjalnkn,menjalankan
menjlnkan,menjalankan
mjlnkan ,menjalankan
mnjalankan,menjalankan
mnjalankn,menjalankan
mnjlankan,menjalankan
mnjlkn,menjalankan
mnjlnkn,menjalankan
menjalin,menjalin
mnjm,menjamin
jamin,menjamin
menjamin,menjamin
ngejamin,menjamin
menjangkau,menjangkau
menjanjikan,menjanjikan
downgrade,menjatuhkan
mendowngrade,menjatuhkan
menggoyang,menjatuhkan
mnjatuhkan,menjatuhkan
mnjatuhkn,menjatuhkan
mnjthkan,menjatuhkan
menjatuhkan,menjatuhkan
menggembosinya,menjatuhkannya
menjauh,menjauh
distancing,menjauhkan
mnjawab,menjawab
menjawab,menjawab
ngejawab,menjawab
ngereply,menjawab
menjelajah,menjelajah
menjelajahi,menjelajahi
mnjelang,menjelang
jelang,menjelang
menjelang,menjelang
ngejelasin,menjelaskan
njelasin,menjelaskan
menjelaskan,menjelaskan
"jelek""in",menjelek jelekkan
ngejelek2in,menjelek jelekkan
ngagogoreng,menjelek jelekkan
mnjelekan,menjelekan
jelekin,menjelekkan
menjelekan,menjelekkan
menjelekkn,menjelekkan
ngejelek,menjelekkan
ngejelekin,menjelekkan
njelekin,menjelekkan
mnjmput,menjemput
mangkelin,menjengkelkan
menjengkelkan,menjengkelkan
mnjijikaaaaaan,menjijikkan
menjijikan,menjijikkan
menjijikkan,menjijikkan
rujitgila,menjijikkan
ngejilat,menjilat
jilat,menjilat
nyeplak,menjiplak
mnjual,menjual
menjulang,menjulang
nolongin,menolong
menolong,menolong
menonaktifkan,menonaktifkan
tongolin,menongol
nntn,menonton
nnton,menonton
nonton,menonton
nontonnnn,menonton
nontoonnn,menonton
ntn,menonton
nton,menonton
menonton,menonton
nobar,menonton bareng
ngedrakor,menonton drama korea
nontonny,menontonnya
nontonx,menontonnya
nontonya,menontonnya
menontonnya,menontonnya
normalin,menormalkan
normalize,menormalkan
normalkan,menormalkan
normalinnya,menormalkannya
menjesejaterah,mensejahterakan
menyejahterakan,mensejahterakan
menyosialisasikan,mensosialisasikan
menstabilkan,menstabilkan
mnstimulasi,menstimulasi
menyukurinya,mensyukurinya
mentah,mentah
"mentah""",mentah mentah
mntal,mental
mental,mental
mentalmu,mentalmu
mentang,mentang
"mentang""",mentang mentang
sementang,mentang mentang
mentari,mentari
mentariku,mentariku
mentawai,mentawai
menteng,menteng
mentri,menteri
mntri,menteri
menteri,menteri
menpora,menteri pemuda dan olahraga
mentrinya,menterinya
mentskkan,mentersangkakan
ketawain,mentertawakan
menertawakan,mentertawakan
menthobi,menthobi
mentok,mentok
mwntok,mentok
nraktir,mentraktir
menu,menu
menudu,menuduh
mnuduh,menuduh
nuduh,menuduh
mnju,menuju
mnuju,menuju
menuju,menuju
nukarin,menukarkan
nuker,menukarkan
nulis,menulis
menulis,menulis
menompang,menumpang
menumpang,menumpang
nebenh,menumpang
numpang,menumpang
menumpuk,menumpuk
numpuk,menumpuk
delay,menunda
procrastinating,menunda nunda
nunduk,menunduk
nunggak,menunggak
nunggu,menunggu
nungguin,menunggu
guwer,menunggu
menunggu,menunggu
nunnggu,menunggu
nunggui,menunggui
nungguinnya,menungguinya
nunggunya,menunggunya
nunjuk,menunjuk
menunjukkn,menunjukkan
nunjukin,menunjukkan
nunjukkin,menunjukkan
mengarahkan,menunjukkan
menunjukkan,menunjukkan
menunjukn,menunjukkan
show,menunjukkan
nuntut,menuntut
menuntut,menuntut
mnrt,menurt
menurun,menurun
nurun,menurun
nggembosi,menurunkan
nurunkan,menurunkan
menurur,menurut
mnrut,menurut
mnurut,menurut
menurit,menurut
menurut,menurut
nurutin,menuruti
mnrtku,menurutku
mnrtkuu,menurutku
menurutku,menurutku
mnrutku,menurutku
nnurutmu,menurutmu
menohok,menusuk
mnusuk,menusuk
nusuk,menusuk
mnutup,menutup
